,Variance
0,626.0
1,948.1875
2,2226.5
3,306.5
4,621.6875
5,235.1875
6,13.6875
7,701.1875
8,1439.1875
9,2982.75
10,1992.1875
11,1159.25
12,1484.1875
13,1711.25
14,2665.25
15,1421.1875
16,798.1875
17,841.25
18,504.1875
19,657.5
20,321.1875
21,808.5
22,315.6875
23,566.75
24,266.1875
25,74.1875
26,22.6875
27,27.0
28,1954.5
29,9.1875
30,204.5
31,2458.25
32,2526.0
33,4659.1875
34,830.25
35,1560.1875
36,12.6875
37,2352.5
38,3490.6875
39,983.6875
40,1802.6875
41,93.5
42,811.1875
43,170.1875
44,756.1875
45,889.5
46,1062.25
47,278.1875
48,273.5
49,128.1875
50,7.1875
51,247.5
52,12773.0
53,8263.6875
54,9851.1875
55,2533.6875
56,48.6875
57,388.6875
58,457.6875
59,2271.5
60,12450.6875
61,462.5
62,25146.75
63,3396.1875
64,57.6875
65,684.1875
66,3210.25
67,914.25
68,1676.1875
69,1463.1875
70,656.1875
71,1077.5
72,314.5
73,137.1875
74,5.25
75,365.25
76,13200.1875
77,10201.1875
78,7091.1875
79,125.25
80,805.6875
81,435.25
82,477.6875
83,537.5
84,951.5
85,129.25
86,85.25
87,7358.0
88,2258.5
89,70.75
90,486.25
91,168.1875
92,750.1875
93,657.5
94,602.75
95,739.6875
96,101.25
97,45.1875
98,47.1875
99,196.1875
100,9873.5
101,10078.5
102,9706.5
103,710.6875
104,12436.6875
105,3892.75
106,871.25
107,588.75
108,1386.0
109,556.25
110,285.6875
111,1383.5
112,92.5
113,892.25
114,2449.0
115,9282.25
116,1348.1875
117,514.1875
118,1313.25
119,777.25
120,52.0
121,31.1875
122,26.1875
123,343.6875
124,10334.6875
125,12052.25
126,7676.1875
127,2506.0
128,967.6875
129,2295.5
130,670.25
131,1856.5
132,620.1875
133,13725.6875
134,3495.25
135,1597.1875
136,130.6875
137,1611.6875
138,238.6875
139,3095.25
140,290.5
141,2435.1875
142,1810.25
143,1354.75
144,336.6875
145,194.6875
146,97.5
147,72.6875
148,1238.75
149,992.25
150,2094.75
151,2902.5
152,8138.1875
153,2635.5
154,942.1875
155,38.6875
156,146.0
157,829.6875
158,1058.5
159,734.75
160,1845.25
161,177.6875
162,217.6875
163,887.25
164,360.0
165,818.6875
166,1036.5
167,1071.5
168,206.0
169,191.1875
170,305.5
171,0.6875
172,2077.1875
173,288.6875
174,246.25
175,2584.25
176,3245.1875
177,6582.5
178,2802.5
179,2312.1875
180,1653.25
181,1666.1875
182,435.5
183,132.5
184,588.5
185,415.6875
186,619.6875
187,181.0
188,379.6875
189,645.25
190,611.0
191,339.6875
192,163.6875
193,113.6875
194,25.1875
195,403.5
196,11304.6875
197,9842.0
198,3545.6875
199,5828.75
200,869.25
201,2850.1875
202,518.25
203,717.6875
204,189.6875
205,437.25
206,180.1875
207,933.1875
208,4786.0
209,2261.0
210,4647.6875
211,730.75
212,1092.75
213,264.75
214,915.1875
215,243.6875
216,237.0
217,64.1875
218,102.1875
219,323.1875
220,12253.6875
221,8636.1875
222,7427.25
223,2416.1875
224,4533.25
225,1454.1875
226,18.6875
227,358.75
228,1457.1875
229,177.25
230,1188.6875
231,1650.6875
232,1066.25
233,484.25
234,2005.25
235,17289.6875
236,1964.6875
237,2134.1875
238,1399.5
239,401.5
240,246.75
