,Variance
0,12625.6875
1,54.25
2,854.6875
3,93.6875
4,7188.75
5,13.5
6,808.25
7,1250.6875
8,3510.5
9,11157.5
10,4567.6875
11,9251.0
12,2140.1875
13,746.75
14,585.6875
15,2552.1875
16,2471.1875
17,3110.75
18,3998.75
19,1085.25
20,2008.1875
21,5010.75
22,2808.1875
23,2303.25
24,1311.5
25,459.25
26,93.0
27,47.25
28,100.25
29,1165.6875
30,4308.1875
31,4491.1875
32,4406.25
33,14684.6875
34,2991.1875
35,7695.5
36,8818.6875
37,82.1875
38,1209.6875
39,1925.0
40,2773.1875
41,2550.6875
42,1584.75
43,2420.1875
44,3440.25
45,3921.6875
46,7108.25
47,3217.1875
48,1335.25
49,148.1875
50,524.0
51,10.6875
52,330.6875
53,7307.6875
54,28700.1875
55,41759.6875
56,1057.25
57,2080.5
58,2180.1875
59,886.25
60,1523.5
61,2798.5
62,12849.1875
63,1283.6875
64,16138.25
65,687.5
66,42506.1875
67,8715.6875
68,2467.5
69,5349.6875
70,4291.25
71,3350.6875
72,3003.1875
73,266.1875
74,512.1875
75,36.0
76,389.6875
77,7184.25
78,35872.1875
79,46725.6875
80,534.6875
81,1660.6875
82,1651.5
83,2850.1875
84,1956.6875
85,2752.5
86,16804.25
87,6149.5
88,2656.25
89,1529.1875
90,14316.5
91,5723.1875
92,8083.25
93,6413.25
94,7206.1875
95,3707.1875
96,3140.1875
97,224.5
98,314.25
99,13.6875
100,847.6875
101,7379.1875
102,48834.5
103,59049.6875
104,1020.25
105,1011.6875
106,4129.25
107,3169.1875
108,1376.1875
109,1653.1875
110,2030.1875
111,220.5
112,3485.1875
113,6148.5
114,18708.75
115,24634.25
116,4454.6875
117,5386.25
118,4897.25
119,3098.0
120,1325.0
121,415.25
122,294.1875
123,13.6875
124,1500.6875
125,5868.5
126,42440.25
127,45361.6875
128,774.1875
129,927.5
130,6786.75
131,3595.25
132,864.6875
133,3410.6875
134,5127.1875
135,5254.1875
136,792.75
137,2304.6875
138,12432.6875
139,13594.25
140,2363.1875
141,9759.1875
142,18219.1875
143,1479.5
144,2805.6875
145,663.1875
146,1083.6875
147,325.6875
148,82.25
149,1806.5
150,3253.0
151,10235.5
152,28374.25
153,10068.6875
154,2450.1875
155,3961.25
156,757.25
157,3919.5
158,1610.25
159,1109.1875
160,640.5
161,3443.0
162,28041.1875
163,4015.6875
164,438.75
165,32387.25
166,19401.1875
167,6844.6875
168,4699.5
169,638.1875
170,917.6875
171,293.5
172,13.6875
173,218.1875
174,1657.25
175,5442.5
176,11128.6875
177,18055.1875
178,6695.1875
179,8262.0
180,4205.25
181,3455.25
182,2385.25
183,1476.1875
184,1453.5
185,4627.1875
186,38812.6875
187,739.6875
188,2226.6875
189,3404.25
190,3026.1875
191,1679.25
192,1060.6875
193,370.6875
194,296.1875
195,15.25
196,800.6875
197,6411.1875
198,37726.1875
199,45662.75
200,1482.25
201,1167.5
202,8492.6875
203,3179.25
204,2281.5
205,841.0
206,2181.25
207,3455.25
208,10560.5
209,12541.25
210,4698.5
211,12911.25
212,3447.6875
213,685.25
214,5078.6875
215,3717.1875
216,1157.25
217,450.6875
218,198.6875
219,53.1875
220,371.5
221,6089.25
222,49116.6875
223,52102.1875
224,1351.6875
225,613.5
226,2081.5
227,7661.25
228,2778.6875
229,2643.6875
230,25362.1875
231,3700.75
232,3128.6875
233,1731.6875
234,1529.0
235,89177.5
236,5072.25
237,5187.6875
238,5153.6875
239,1946.1875
240,1793.25
241,84.5
242,456.75
243,21.5
244,565.5
245,6997.25
246,48707.5
247,47956.0
248,1929.6875
249,926.1875
250,9414.6875
251,86.5
252,2634.6875
253,3436.25
254,30302.25
255,3845.5
256,2521.25
257,2056.5
258,20604.1875
259,10486.75
260,1172.75
261,20846.75
262,16837.5
263,3015.6875
264,2294.6875
265,116.5
266,153.6875
267,50.5
268,443.1875
269,6769.0
270,47955.6875
271,46923.5
272,2907.5
273,1502.5
274,7542.6875
275,4118.0
276,1316.25
277,5865.1875
278,10590.0
279,4278.6875
280,1679.6875
281,1534.25
282,30270.1875
283,12914.0
284,4403.25
285,4108.25
286,5561.1875
287,1190.75
288,1498.1875
289,217.1875
290,255.6875
291,24.75
292,785.5
293,5738.6875
294,41640.75
295,45343.25
296,486.6875
297,1976.1875
298,7315.5
299,11604.6875
300,5631.25
301,2450.25
302,11769.5
303,3487.25
304,12095.1875
305,11824.0
306,13296.1875
307,8844.75
308,3439.1875
309,3449.6875
310,5223.5
311,1917.6875
312,3855.1875
313,27.5
314,1320.5
315,326.1875
316,308.6875
317,1025.1875
318,3428.25
319,7956.6875
320,25134.6875
321,10131.5
322,6564.1875
323,9388.1875
324,5623.6875
325,983.1875
326,1726.5
327,448.25
328,1487.1875
329,9858.1875
330,20684.5
331,8437.6875
332,1188.6875
333,11256.1875
334,1202.0
335,6485.25
336,3317.5
337,533.6875
338,1068.6875
339,439.5
340,263.5
341,257.25
342,3998.25
343,4017.5
344,10622.6875
345,18449.6875
346,13196.5
347,19784.1875
348,1802.25
349,1576.75
350,2781.0
351,1020.5
352,295.6875
353,10288.6875
354,9606.5
355,3348.25
356,1332.5
357,5391.6875
358,2779.6875
359,1057.0
360,2034.75
361,170.6875
362,340.25
363,214.25
364,295.25
365,5519.6875
366,17620.25
367,16719.6875
368,7995.1875
369,4782.1875
370,6715.6875
371,9213.0
372,5937.5
373,536.75
374,916.25
375,909.5
376,2376.5
377,6622.25
378,12043.6875
379,3338.1875
380,1207.5
381,2835.6875
382,3552.25
383,1227.6875
384,1429.1875
385,96.6875
386,280.25
387,27.1875
388,462.25
389,9315.6875
390,44997.25
391,50115.6875
392,13.1875
393,2719.5
394,1656.25
395,5861.5
396,5712.25
397,2059.6875
398,16960.1875
399,7416.5
400,2362.5
401,6012.25
402,10807.25
403,18257.1875
404,2502.25
405,9278.6875
406,9844.6875
407,1026.1875
408,2569.1875
409,95.1875
410,383.1875
411,7.25
412,714.1875
413,8872.25
414,56665.5
415,36101.0
416,5418.75
417,301.5
418,3180.75
419,6266.25
420,8674.5
421,870.5
422,8823.5
423,4210.25
424,8877.6875
425,12303.6875
426,16381.6875
427,18110.5
428,7274.25
429,2046.0
430,6878.25
431,2261.5
432,1971.5
433,353.5
434,102.75
435,125.5
436,731.25
437,5730.25
438,42230.5
439,33905.25
440,51136.25
441,3490.25
442,5424.1875
443,7502.0
444,5354.75
445,3033.5
446,14529.6875
447,7136.75
448,7723.1875
449,6789.6875
450,13840.5
451,3362.75
452,3751.25
453,9074.1875
454,6900.75
455,3463.5
456,5496.75
457,113.6875
458,371.1875
459,81.5
460,1060.25
461,7454.75
462,48132.25
463,30736.25
464,1651.5
465,782.1875
466,3132.1875
467,3757.6875
468,204.1875
469,1634.1875
470,1547.6875
471,3929.0
472,19790.5
473,18842.0
474,5188.0
475,7926.5
476,919.6875
477,29684.6875
478,53202.1875
479,3986.0
480,4463.1875
481,155.25
482,763.1875
483,142.1875
484,84.6875
485,1078.5
486,3584.75
487,10521.1875
488,17432.25
489,13001.5
490,3113.5
491,5190.0
492,15325.5
493,1146.1875
494,828.5
495,1433.5
496,665.0
497,2320.25
498,17250.5
499,1668.6875
500,907.25
501,3068.75
502,8335.6875
503,2516.1875
504,3092.1875
505,237.25
506,1363.1875
507,125.1875
508,49.0
509,163.6875
510,2697.6875
511,3658.1875
512,13025.5
513,14344.25
514,2124.1875
515,9242.25
516,4015.6875
517,1145.6875
518,1555.6875
519,2428.5
520,11332.75
521,6559.6875
522,445.6875
523,4843.5
524,1747.6875
525,1937.1875
526,2005.5
527,712.6875
528,1905.1875
529,222.6875
530,527.6875
531,72.25
532,105.25
533,7005.0
534,39440.1875
535,49293.5
536,1370.6875
537,1152.5
538,3934.5
539,1853.1875
540,1975.25
541,2370.1875
542,10803.1875
543,4696.75
544,3767.1875
545,2823.6875
546,13977.6875
547,4420.6875
548,508.6875
549,2881.5
550,3319.25
551,3667.5
552,1282.25
553,81.5
554,173.6875
555,66.6875
556,451.5
557,9459.0
558,49745.1875
559,71264.1875
560,1922.0
561,828.6875
562,2559.6875
563,3325.1875
564,1604.1875
565,969.1875
566,22913.1875
567,223.1875
568,2998.0
569,1006.1875
570,29598.5
571,16794.6875
572,2510.75
573,7015.25
574,2986.75
575,2556.6875
576,2015.1875
577,600.5
578,353.0
579,29.0
580,610.6875
581,7890.25
582,49238.75
583,52786.25
584,1401.25
585,2052.25
586,2081.6875
587,8781.5
588,4872.6875
589,4338.1875
590,10111.5
591,1890.1875
